Node1_T,Node2,Mutual_Rank
EMB3119_(AT3G04790),EMB3119_(AT3G04790),1
EMB3119_(AT3G04790),FBA1_(AT2G21330),0.000001
EMB3119_(AT3G04790),FBA2_(AT4G38970),0.000001
EMB3119_(AT3G04790),FBA8_(AAT3G52930),0.000001
EMB3119_(AT3G04790),FBP_(AT5G64380),0.000001
EMB3119_(AT3G04790),GAPA_(AT3G26650),0.000001
EMB3119_(AT3G04790),GAPA-2_(AT1G12900),0.000001
EMB3119_(AT3G04790),GAPAB_(AT1G42970),0.000001
EMB3119_(AT3G04790),GAPC1_(AT3G04120),0.000001
EMB3119_(AT3G04790),HCEF1_(AT3G54050),0.000001
EMB3119_(AT3G04790),PGK_(AT1G56190),0.25902259
EMB3119_(AT3G04790),PGK_(AT1G79550),0.000001
EMB3119_(AT3G04790),PGK1_(AT3G12780),0.000001
EMB3119_(AT3G04790),PRK_(AT1G32060),0.000001
EMB3119_(AT3G04790),RBCS1A_(AT1G67090),0.000001
EMB3119_(AT3G04790),RBCS1B_(AT5G38430),0.000001
EMB3119_(AT3G04790),RBCS2B_(AT5G38420),0.000001
EMB3119_(AT3G04790),RBCS3B_(AT5G38410),0.000001
EMB3119_(AT3G04790),SBPASE_(AT3G55800),0.000001
EMB3119_(AT3G04790),TKTB_(AT3G60750),0.06228965
FBA1_(AT2G21330),EMB3119_(AT3G04790),0.314327451
FBA1_(AT2G21330),FBA1_(AT2G21330),1
FBA1_(AT2G21330),FBA2_(AT4G38970),0.187765769
FBA1_(AT2G21330),FBA8_(AAT3G52930),0.000001
FBA1_(AT2G21330),FBP_(AT5G64380),0.000001
FBA1_(AT2G21330),GAPA_(AT3G26650),0.000001
FBA1_(AT2G21330),GAPA-2_(AT1G12900),0.000001
FBA1_(AT2G21330),GAPAB_(AT1G42970),0.000001
FBA1_(AT2G21330),GAPC1_(AT3G04120),0.000001
FBA1_(AT2G21330),HCEF1_(AT3G54050),0.000001
FBA1_(AT2G21330),PGK_(AT1G56190),0.000001
FBA1_(AT2G21330),PGK_(AT1G79550),0.000001
FBA1_(AT2G21330),PGK1_(AT3G12780),0.000001
FBA1_(AT2G21330),PRK_(AT1G32060),0.000001
FBA1_(AT2G21330),RBCS1A_(AT1G67090),0.000001
FBA1_(AT2G21330),RBCS1B_(AT5G38430),0.000001
FBA1_(AT2G21330),RBCS2B_(AT5G38420),0.000001
FBA1_(AT2G21330),RBCS3B_(AT5G38410),0.000001
FBA1_(AT2G21330),SBPASE_(AT3G55800),0.089596412
FBA1_(AT2G21330),TKTB_(AT3G60750),0.000001
FBA2_(AT4G38970),EMB3119_(AT3G04790),0.000001
FBA2_(AT4G38970),FBA1_(AT2G21330),0.000001
FBA2_(AT4G38970),FBA2_(AT4G38970),1
FBA2_(AT4G38970),FBA8_(AAT3G52930),0.000001
FBA2_(AT4G38970),FBP_(AT5G64380),0.000001
FBA2_(AT4G38970),GAPA_(AT3G26650),0.763501645
FBA2_(AT4G38970),GAPA-2_(AT1G12900),0.000001
FBA2_(AT4G38970),GAPAB_(AT1G42970),0.983576363
FBA2_(AT4G38970),GAPC1_(AT3G04120),0.000001
FBA2_(AT4G38970),HCEF1_(AT3G54050),0.000001
FBA2_(AT4G38970),PGK_(AT1G56190),0.000001
FBA2_(AT4G38970),PGK_(AT1G79550),0.000001
FBA2_(AT4G38970),PGK1_(AT3G12780),0.20278682
FBA2_(AT4G38970),PRK_(AT1G32060),0.363956836
FBA2_(AT4G38970),RBCS1A_(AT1G67090),0.04444957
FBA2_(AT4G38970),RBCS1B_(AT5G38430),0.000001
FBA2_(AT4G38970),RBCS2B_(AT5G38420),0.000001
FBA2_(AT4G38970),RBCS3B_(AT5G38410),0.000001
FBA2_(AT4G38970),SBPASE_(AT3G55800),0.960789439
FBA2_(AT4G38970),TKTB_(AT3G60750),0.000001
FBA8_(AAT3G52930),EMB3119_(AT3G04790),0.000001
FBA8_(AAT3G52930),FBA1_(AT2G21330),0.000001
FBA8_(AAT3G52930),FBA2_(AT4G38970),0.000001
FBA8_(AAT3G52930),FBA8_(AAT3G52930),1
FBA8_(AAT3G52930),FBP_(AT5G64380),0.000001
FBA8_(AAT3G52930),GAPA_(AT3G26650),0.000001
FBA8_(AAT3G52930),GAPA-2_(AT1G12900),0.000001
FBA8_(AAT3G52930),GAPAB_(AT1G42970),0.000001
FBA8_(AAT3G52930),GAPC1_(AT3G04120),0.983576363
FBA8_(AAT3G52930),HCEF1_(AT3G54050),0.000001
FBA8_(AAT3G52930),PGK_(AT1G56190),0.000001
FBA8_(AAT3G52930),PGK_(AT1G79550),0.727777434
FBA8_(AAT3G52930),PGK1_(AT3G12780),0.000001
FBA8_(AAT3G52930),PRK_(AT1G32060),0.000001
FBA8_(AAT3G52930),RBCS1A_(AT1G67090),0.000001
FBA8_(AAT3G52930),RBCS1B_(AT5G38430),0.000001
FBA8_(AAT3G52930),RBCS2B_(AT5G38420),0.000001
FBA8_(AAT3G52930),RBCS3B_(AT5G38410),0.000001
FBA8_(AAT3G52930),SBPASE_(AT3G55800),0.000001
FBA8_(AAT3G52930),TKTB_(AT3G60750),0.000001
FBP_(AT5G64380),EMB3119_(AT3G04790),0.000001
FBP_(AT5G64380),FBA1_(AT2G21330),0.000001
FBP_(AT5G64380),FBA2_(AT4G38970),0.000001
FBP_(AT5G64380),FBA8_(AAT3G52930),0.000001
FBP_(AT5G64380),FBP_(AT5G64380),1
FBP_(AT5G64380),GAPA_(AT3G26650),0.000001
FBP_(AT5G64380),GAPA-2_(AT1G12900),0.000001
FBP_(AT5G64380),GAPAB_(AT1G42970),0.000001
FBP_(AT5G64380),GAPC1_(AT3G04120),0.000001
FBP_(AT5G64380),HCEF1_(AT3G54050),0.04455103
FBP_(AT5G64380),PGK_(AT1G56190),0.000001
FBP_(AT5G64380),PGK_(AT1G79550),0.000001
FBP_(AT5G64380),PGK1_(AT3G12780),0.000001
FBP_(AT5G64380),PRK_(AT1G32060),0.000001
FBP_(AT5G64380),RBCS1A_(AT1G67090),0.000001
FBP_(AT5G64380),RBCS1B_(AT5G38430),0.000001
FBP_(AT5G64380),RBCS2B_(AT5G38420),0.000001
FBP_(AT5G64380),RBCS3B_(AT5G38410),0.000001
FBP_(AT5G64380),SBPASE_(AT3G55800),0.000001
FBP_(AT5G64380),TKTB_(AT3G60750),0.000001
GAPA_(AT3G26650),EMB3119_(AT3G04790),0.000001
GAPA_(AT3G26650),FBA1_(AT2G21330),0.000001
